IRUC;NROESTABLEC;CIIU;CCDD;CCPP;CCDI;CODORGJURIDICA;CODREGPROPIEDAD;FecAniversario;CODSECTOR;CODFORMATO;texto1;texto2;texto3;texto4;FAC_EXP
00000155507;000;4630;17;01;01;14;07;2017;004;M;1;1;00;00;8.5
00000013927;000;8521;12;01;14;14;07;1940;003;F2;1;1;00;00;8
00000014116;000;8521;15;01;40;14;07;1957;003;F2;1;1;00;00;7.6
00000045712;000;8521;15;01;08;14;07;1963;003;F2;1;1;00;00;7.6
00000024725;000;4923;15;01;40;14;07;2001;013;M;1;1;00;00;57.78
00000012662;000;8521;08;01;01;14;07;1993;003;F2;1;1;00;00;5
00000044578;000;8521;15;01;01;14;07;1984;003;M;1;1;00;00;47.866667
00000178537;000;4662;11;01;01;14;07;2017;004;M;1;1;00;00;25.1666666666667
00000013956;000;8521;02;01;01;14;07;1962;003;F2;1;1;00;00;2.5
00000152247;000;9609;15;01;22;14;07;2016;016;F2;1;1;00;00;2.083333
00000121588;000;4100;15;01;22;14;07;2015;005;F2;1;1;00;00;2.0421686746988
00000152702;000;4100;15;01;31;14;07;2017;005;F2;1;1;00;00;2.0421686746988
00000155245;000;4100;15;01;31;14;07;2010;005;F2;1;1;00;00;2.0421686746988
00000159456;000;4100;15;01;31;14;07;2018;005;F2;1;1;00;00;2.0421686746988
00000159783;000;4100;15;01;31;14;07;2018;005;F2;1;1;00;00;2.0421686746988
00000016673;000;8530;02;18;01;14;07;1996;014;F2;1;1;00;00;2
00000169248;000;8510;15;08;01;14;07;2009;003;M;1;1;00;00;16.666667
00000175668;000;4661;02;01;05;14;07;2017;004;M;1;1;00;00;14.5555555555556
00000087520;000;8510;04;07;01;14;07;1905;003;M;1;1;00;00;120
00000173630;000;7730;06;01;01;14;07;2010;016;M;1;1;00;00;11.181818
00000015822;000;8510;13;01;01;14;07;1952;003;F2;1;1;00;00;11
00000013804;000;8510;15;01;28;14;07;1966;003;F2;1;1;00;00;10.9375
00000158067;000;6810;15;01;22;14;07;2012;016;F2;1;1;00;00;1.921569
00000048463;000;0321;15;01;22;14;07;2004;010;A;1;1;00;00;1.71428571428571
00000152397;000;4100;25;01;01;14;07;2016;005;F2;1;1;00;00;1.66666666666667
00000113806;000;8299;15;01;01;14;07;2012;016;F2;2;1;00;00;1.5
00000027822;000;8220;15;01;22;14;07;2007;016;F2;1;1;00;00;1.5
00000028811;000;8220;15;01;01;14;07;2009;016;F2;1;1;00;00;1.5
